date,name,value
2016-08-31,pytorch/pytorch,4
2016-09-30,pytorch/pytorch,5
2016-10-31,pytorch/pytorch,8
2016-11-30,pytorch/pytorch,17
2016-12-31,pytorch/pytorch,20
2017-01-31,pytorch/pytorch,2419
2017-02-28,pytorch/pytorch,3059
2017-03-31,pytorch/pytorch,3583
2017-04-30,pytorch/pytorch,4079
2017-05-31,pytorch/pytorch,4630
2017-06-30,pytorch/pytorch,5005
2017-07-31,pytorch/pytorch,5375
2017-08-31,pytorch/pytorch,6195
2017-09-30,pytorch/pytorch,6802
2017-10-31,pytorch/pytorch,7701
2017-11-30,pytorch/pytorch,8604
2017-12-31,pytorch/pytorch,9593
2018-01-31,pytorch/pytorch,10673
2018-02-28,pytorch/pytorch,11312
2018-03-31,pytorch/pytorch,12069
2018-04-30,pytorch/pytorch,13201
2018-05-31,pytorch/pytorch,14428
2018-06-30,pytorch/pytorch,15156
2018-07-31,pytorch/pytorch,15868
2018-08-31,pytorch/pytorch,16623
2018-09-30,pytorch/pytorch,17414
2018-10-31,pytorch/pytorch,18807
2018-11-30,pytorch/pytorch,19887
2018-12-31,pytorch/pytorch,21317
2019-01-31,pytorch/pytorch,22308
2019-02-28,pytorch/pytorch,23155
2019-03-31,pytorch/pytorch,24247
2019-04-30,pytorch/pytorch,25309
2019-05-31,pytorch/pytorch,26369
2019-06-30,pytorch/pytorch,27229
2019-07-31,pytorch/pytorch,28160
2019-08-31,pytorch/pytorch,29002
2019-09-30,pytorch/pytorch,29761
2019-10-31,pytorch/pytorch,30963
2019-11-30,pytorch/pytorch,31788
2019-12-31,pytorch/pytorch,32675
2020-01-31,pytorch/pytorch,33342
2020-02-29,pytorch/pytorch,34108
2020-03-31,pytorch/pytorch,34987
2020-04-30,pytorch/pytorch,35871
2020-05-31,pytorch/pytorch,36748
2020-06-30,pytorch/pytorch,37507
2020-07-31,pytorch/pytorch,38336
2020-08-31,pytorch/pytorch,39156
2020-09-30,pytorch/pytorch,40475
2020-10-31,pytorch/pytorch,41191
2020-11-30,pytorch/pytorch,41980
2020-12-31,pytorch/pytorch,42786
2021-01-31,pytorch/pytorch,43550
2021-02-28,pytorch/pytorch,44116
2021-03-31,pytorch/pytorch,44914
2021-04-30,pytorch/pytorch,45599
2021-05-31,pytorch/pytorch,46254
2021-06-30,pytorch/pytorch,46901
2021-07-31,pytorch/pytorch,47588
2021-08-31,pytorch/pytorch,48303
2021-09-30,pytorch/pytorch,48972
2021-10-31,pytorch/pytorch,49643
2021-11-30,pytorch/pytorch,50291
2021-12-31,pytorch/pytorch,50950
2022-01-31,pytorch/pytorch,51686
2022-02-28,pytorch/pytorch,52225
2022-03-31,pytorch/pytorch,52997
2022-04-30,pytorch/pytorch,53704
2022-05-31,pytorch/pytorch,54457
2022-06-30,pytorch/pytorch,55178
2022-07-31,pytorch/pytorch,55834
2022-08-31,pytorch/pytorch,56575
2022-09-30,pytorch/pytorch,57495
2022-10-31,pytorch/pytorch,58232
2022-11-30,pytorch/pytorch,58961
2022-12-31,pytorch/pytorch,59659
2023-01-31,pytorch/pytorch,60622
2023-02-28,pytorch/pytorch,61606
2023-03-31,pytorch/pytorch,63051
2023-04-30,pytorch/pytorch,64614
2023-05-31,pytorch/pytorch,65880
2023-06-30,pytorch/pytorch,66858
2023-07-31,pytorch/pytorch,67940
2023-08-31,pytorch/pytorch,68859
2023-09-30,pytorch/pytorch,69837
2023-10-31,pytorch/pytorch,70838
2023-11-30,pytorch/pytorch,71838
2023-12-31,pytorch/pytorch,72853
2024-01-31,pytorch/pytorch,73897
2024-02-29,pytorch/pytorch,74999
2024-03-31,pytorch/pytorch,76141
2024-04-30,pytorch/pytorch,77175
2024-05-31,pytorch/pytorch,78243
2024-06-30,pytorch/pytorch,79267
2024-07-31,pytorch/pytorch,80323
2024-08-31,pytorch/pytorch,81254
2024-09-30,pytorch/pytorch,82216
2024-10-31,pytorch/pytorch,83224
2024-11-30,pytorch/pytorch,84444
2024-12-31,pytorch/pytorch,85376
2025-01-31,pytorch/pytorch,85622
2020-01-31,gofiber/fiber,95
2020-02-29,gofiber/fiber,2789
2020-03-31,gofiber/fiber,3214
2020-04-30,gofiber/fiber,4421
2020-05-31,gofiber/fiber,5156
2020-06-30,gofiber/fiber,5610
2020-07-31,gofiber/fiber,6468
2020-08-31,gofiber/fiber,7007
2020-09-30,gofiber/fiber,7611
2020-10-31,gofiber/fiber,8838
2020-11-30,gofiber/fiber,9562
2020-12-31,gofiber/fiber,10122
2021-01-31,gofiber/fiber,10627
2021-02-28,gofiber/fiber,11088
2021-03-31,gofiber/fiber,11692
2021-04-30,gofiber/fiber,12259
2021-05-31,gofiber/fiber,12699
2021-06-30,gofiber/fiber,13113
2021-07-31,gofiber/fiber,13516
2021-08-31,gofiber/fiber,14003
2021-09-30,gofiber/fiber,14602
2021-10-31,gofiber/fiber,15179
2021-11-30,gofiber/fiber,15603
2021-12-31,gofiber/fiber,16511
2022-01-31,gofiber/fiber,17004
2022-02-28,gofiber/fiber,17531
2022-03-31,gofiber/fiber,18277
2022-04-30,gofiber/fiber,18851
2022-05-31,gofiber/fiber,19322
2022-06-30,gofiber/fiber,19787
2022-07-31,gofiber/fiber,20232
2022-08-31,gofiber/fiber,21133
2022-09-30,gofiber/fiber,21675
2022-10-31,gofiber/fiber,22106
2022-11-30,gofiber/fiber,22580
