date,name,value
2016-09-01,pytorch/pytorch,4
2016-10-01,pytorch/pytorch,5
2016-11-01,pytorch/pytorch,8
2016-12-01,pytorch/pytorch,17
2017-01-01,pytorch/pytorch,20
2017-02-01,pytorch/pytorch,2419
2017-03-01,pytorch/pytorch,3059
2017-04-01,pytorch/pytorch,3583
2017-05-01,pytorch/pytorch,4079
2017-06-01,pytorch/pytorch,4630
2017-07-01,pytorch/pytorch,5005
2017-08-01,pytorch/pytorch,5375
2017-09-01,pytorch/pytorch,6195
2017-10-01,pytorch/pytorch,6802
2017-11-01,pytorch/pytorch,7701
2017-12-01,pytorch/pytorch,8604
2018-01-01,pytorch/pytorch,9593
2018-02-01,pytorch/pytorch,10673
2018-03-01,pytorch/pytorch,11312
2018-04-01,pytorch/pytorch,12069
2018-05-01,pytorch/pytorch,13201
2018-06-01,pytorch/pytorch,14428
2018-07-01,pytorch/pytorch,15156
2018-08-01,pytorch/pytorch,15868
2018-09-01,pytorch/pytorch,16623
2018-10-01,pytorch/pytorch,17414
2018-11-01,pytorch/pytorch,18807
2018-12-01,pytorch/pytorch,19887
2019-01-01,pytorch/pytorch,21318
2019-02-01,pytorch/pytorch,22309
2019-03-01,pytorch/pytorch,23156
2019-04-01,pytorch/pytorch,24248
2019-05-01,pytorch/pytorch,25310
2019-06-01,pytorch/pytorch,26370
2019-07-01,pytorch/pytorch,27231
2019-08-01,pytorch/pytorch,28162
2019-09-01,pytorch/pytorch,29005
2019-10-01,pytorch/pytorch,29764
2019-11-01,pytorch/pytorch,30966
2019-12-01,pytorch/pytorch,31791
2020-01-01,pytorch/pytorch,32678
2020-02-01,pytorch/pytorch,33345
2020-03-01,pytorch/pytorch,34111
2020-04-01,pytorch/pytorch,34990
2020-05-01,pytorch/pytorch,35874
2020-06-01,pytorch/pytorch,36751
2020-07-01,pytorch/pytorch,37510
2020-08-01,pytorch/pytorch,38339
2020-09-01,pytorch/pytorch,39160
2020-10-01,pytorch/pytorch,40479
2020-11-01,pytorch/pytorch,41195
2020-12-01,pytorch/pytorch,41985
2021-01-01,pytorch/pytorch,42791
2021-02-01,pytorch/pytorch,43555
2021-03-01,pytorch/pytorch,44122
2021-04-01,pytorch/pytorch,44920
2021-05-01,pytorch/pytorch,45606
2021-06-01,pytorch/pytorch,46261
2021-07-01,pytorch/pytorch,46908
2021-08-01,pytorch/pytorch,47595
2021-09-01,pytorch/pytorch,48310
2021-10-01,pytorch/pytorch,48980
2021-11-01,pytorch/pytorch,49651
2021-12-01,pytorch/pytorch,50299
2022-01-01,pytorch/pytorch,50958
2022-02-01,pytorch/pytorch,51694
2022-03-01,pytorch/pytorch,52233
2022-04-01,pytorch/pytorch,53006
2022-05-01,pytorch/pytorch,53713
2022-06-01,pytorch/pytorch,54467
2022-07-01,pytorch/pytorch,55188
2022-08-01,pytorch/pytorch,55844
2022-09-01,pytorch/pytorch,56585
2022-10-01,pytorch/pytorch,57505
2022-11-01,pytorch/pytorch,58242
2022-12-01,pytorch/pytorch,58972
2023-01-01,pytorch/pytorch,59671
2023-02-01,pytorch/pytorch,60634
2023-03-01,pytorch/pytorch,61619
2023-04-01,pytorch/pytorch,63064
2023-05-01,pytorch/pytorch,64627
2023-06-01,pytorch/pytorch,65893
2023-07-01,pytorch/pytorch,66872
2023-08-01,pytorch/pytorch,67954
2023-09-01,pytorch/pytorch,68872
