date,day-stars,total-stars
16-06-2010,808,808
17-06-2010,1,809
18-06-2010,2,811
19-06-2010,1,812
20-06-2010,2,814
21-06-2010,2,816
22-06-2010,2,818
23-06-2010,0,818
24-06-2010,3,821
25-06-2010,0,821
26-06-2010,0,821
27-06-2010,2,823
28-06-2010,1,824
29-06-2010,0,824
30-06-2010,0,824
01-07-2010,1,825
02-07-2010,1,826
03-07-2010,0,826
04-07-2010,2,828
05-07-2010,1,829
06-07-2010,1,830
07-07-2010,2,832
08-07-2010,2,834
09-07-2010,1,835
10-07-2010,5,840
11-07-2010,2,842
12-07-2010,3,845
13-07-2010,2,847
14-07-2010,3,850
15-07-2010,0,850
16-07-2010,1,851
17-07-2010,1,852
18-07-2010,1,853
19-07-2010,1,854
20-07-2010,1,855
21-07-2010,2,857
22-07-2010,1,858
23-07-2010,2,860
24-07-2010,3,863
25-07-2010,0,863
26-07-2010,2,865
27-07-2010,1,866
28-07-2010,0,866
29-07-2010,1,867
30-07-2010,0,867
31-07-2010,2,869
01-08-2010,1,870
02-08-2010,0,870
03-08-2010,1,871
04-08-2010,2,873
05-08-2010,1,874
06-08-2010,0,874
07-08-2010,0,874
08-08-2010,0,874
09-08-2010,2,876
10-08-2010,0,876
11-08-2010,0,876
12-08-2010,0,876
13-08-2010,0,876
14-08-2010,3,879
15-08-2010,1,880
16-08-2010,3,883
17-08-2010,1,884
18-08-2010,1,885
19-08-2010,1,886
20-08-2010,1,887
21-08-2010,1,888
22-08-2010,1,889
23-08-2010,0,889
24-08-2010,0,889
25-08-2010,1,890
26-08-2010,0,890
27-08-2010,2,892
28-08-2010,0,892
29-08-2010,0,892
30-08-2010,0,892
31-08-2010,0,892
01-09-2010,0,892
02-09-2010,0,892
03-09-2010,0,892
04-09-2010,1,893
05-09-2010,0,893
06-09-2010,1,894
07-09-2010,0,894
08-09-2010,1,895
09-09-2010,2,897
10-09-2010,0,897
11-09-2010,0,897
12-09-2010,2,899
13-09-2010,0,899
14-09-2010,1,900
15-09-2010,0,900
16-09-2010,2,902
17-09-2010,0,902
