date,name,value
2011-02-01,Elixir,717
2011-03-01,Elixir,732
2011-04-01,Elixir,746
2011-05-01,Elixir,762
2011-06-01,Elixir,776
2011-07-01,Elixir,793
2011-08-01,Elixir,802
2011-09-01,Elixir,812
2011-10-01,Elixir,819
2011-11-01,Elixir,828
2011-12-01,Elixir,835
2012-01-01,Elixir,843
2012-02-01,Elixir,849
2012-03-01,Elixir,851
2012-04-01,Elixir,856
2012-05-01,Elixir,863
2012-06-01,Elixir,867
2012-07-01,Elixir,868
2012-08-01,Elixir,870
2012-09-01,Elixir,872
2012-10-01,Elixir,873
2012-11-01,Elixir,873
2012-12-01,Elixir,874
2013-01-01,Elixir,876
2013-02-01,Elixir,876
2013-03-01,Elixir,898
2013-04-01,Elixir,921
2013-05-01,Elixir,959
2013-06-01,Elixir,1033
2013-07-01,Elixir,1191
2013-08-01,Elixir,1295
2013-09-01,Elixir,1410
2013-10-01,Elixir,1481
2013-11-01,Elixir,1546
2013-12-01,Elixir,1617
2014-01-01,Elixir,1683
2014-02-01,Elixir,1752
2014-03-01,Elixir,1807
2014-04-01,Elixir,1902
2014-05-01,Elixir,1991
2014-06-01,Elixir,2059
2014-07-01,Elixir,2123
2014-08-01,Elixir,2202
2014-09-01,Elixir,2317
2014-10-01,Elixir,2553
2014-11-01,Elixir,2638
2014-12-01,Elixir,2744
2015-01-01,Elixir,2846
2015-02-01,Elixir,2967
2015-03-01,Elixir,3063
2015-04-01,Elixir,3169
2015-05-01,Elixir,3313
2015-06-01,Elixir,3456
2015-07-01,Elixir,3717
2015-08-01,Elixir,3889
2015-09-01,Elixir,4112
2015-10-01,Elixir,4410
2015-11-01,Elixir,4625
2015-12-01,Elixir,4851
2016-01-01,Elixir,5090
2016-02-01,Elixir,5436
2016-03-01,Elixir,5676
2016-04-01,Elixir,5885
2016-05-01,Elixir,6092
2016-06-01,Elixir,6349
2016-07-01,Elixir,6640
2016-08-01,Elixir,6914
2016-09-01,Elixir,7150
2016-10-01,Elixir,7367
2016-11-01,Elixir,7580
2016-12-01,Elixir,7779
2017-01-01,Elixir,7997
2017-02-01,Elixir,8316
2017-03-01,Elixir,8582
2017-04-01,Elixir,8819
2017-05-01,Elixir,9018
2017-06-01,Elixir,9251
2017-07-01,Elixir,9494
2017-08-01,Elixir,9776
2017-09-01,Elixir,9974
2017-10-01,Elixir,10145
2017-11-01,Elixir,10425
2017-12-01,Elixir,10658
2018-01-01,Elixir,10897
2018-02-01,Elixir,11153
2018-03-01,Elixir,11400
2018-04-01,Elixir,11656
2018-05-01,Elixir,11847
2018-06-01,Elixir,12066
2018-07-01,Elixir,12236
2018-08-01,Elixir,12519
2018-09-01,Elixir,12787
2018-10-01,Elixir,12941
2018-11-01,Elixir,13113
2018-12-01,Elixir,13321
2019-01-01,Elixir,13490
2019-02-01,Elixir,13724
2019-03-01,Elixir,13873
2019-04-01,Elixir,14045
2019-05-01,Elixir,14231
2019-06-01,Elixir,14435
2019-07-01,Elixir,14609
2019-08-01,Elixir,14742
2019-09-01,Elixir,14904
2019-10-01,Elixir,15032
2019-11-01,Elixir,15170
2019-12-01,Elixir,15293
2020-01-01,Elixir,15409
2020-02-01,Elixir,15556
2020-03-01,Elixir,15683
2020-04-01,Elixir,15798
2020-05-01,Elixir,15960
2020-06-01,Elixir,16098
2020-07-01,Elixir,16233
2020-08-01,Elixir,16374
2020-09-01,Elixir,16487
2020-10-01,Elixir,16656
2020-11-01,Elixir,16797
2020-12-01,Elixir,16991
2021-01-01,Elixir,17147
2021-02-01,Elixir,17302
2021-03-01,Elixir,17443
2021-04-01,Elixir,17629
2021-05-01,Elixir,17799
2021-06-01,Elixir,17943
2021-07-01,Elixir,18048
2021-08-01,Elixir,18173
2021-09-01,Elixir,18287
2021-10-01,Elixir,18401
2021-11-01,Elixir,18540
2021-12-01,Elixir,18666
2022-01-01,Elixir,18906
2022-02-01,Elixir,19049
2022-03-01,Elixir,19180
2022-04-01,Elixir,19347
2022-05-01,Elixir,19501
2022-06-01,Elixir,19642
2022-07-01,Elixir,19786
2022-08-01,Elixir,19943
2022-09-01,Elixir,20088
2022-10-01,Elixir,20248
2022-11-01,Elixir,20368
2022-12-01,Elixir,20487
2023-01-01,Elixir,20585
2023-02-01,Elixir,20715
2023-03-01,Elixir,20858
2023-04-01,Elixir,20983
2023-05-01,Elixir,21139
2023-06-01,Elixir,21242
2023-07-01,Elixir,21381
2023-08-01,Elixir,21496
2023-09-01,Elixir,21623
2023-10-01,Elixir,21757
2023-11-01,Elixir,21869
2023-12-01,Elixir,21999
2024-01-01,Elixir,22114
2024-02-01,Elixir,22249
2024-03-01,Elixir,22376
2024-04-01,Elixir,22840
2024-05-01,Elixir,23014
2024-06-01,Elixir,23628
2024-07-01,Elixir,23806
2024-08-01,Elixir,23956
2024-09-01,Elixir,24098
2024-10-01,Elixir,24249
2024-11-01,Elixir,24397
2024-12-01,Elixir,24554
2025-01-01,Elixir,24707
2025-02-01,Elixir,24710
