date,name,value
2015-01-01,freeCodeCamp/freeCodeCamp,16
2015-02-01,freeCodeCamp/freeCodeCamp,55
2015-03-01,freeCodeCamp/freeCodeCamp,80
2015-04-01,freeCodeCamp/freeCodeCamp,105
2015-05-01,freeCodeCamp/freeCodeCamp,125
2015-06-01,freeCodeCamp/freeCodeCamp,173
2015-07-01,freeCodeCamp/freeCodeCamp,1145
2015-08-01,freeCodeCamp/freeCodeCamp,9964
2015-09-01,freeCodeCamp/freeCodeCamp,14735
2015-10-01,freeCodeCamp/freeCodeCamp,17767
2015-11-01,freeCodeCamp/freeCodeCamp,24001
2015-12-01,freeCodeCamp/freeCodeCamp,32907
2016-01-01,freeCodeCamp/freeCodeCamp,43104
2016-02-01,freeCodeCamp/freeCodeCamp,56734
2016-03-01,freeCodeCamp/freeCodeCamp,72013
2016-04-01,freeCodeCamp/freeCodeCamp,85196
2016-05-01,freeCodeCamp/freeCodeCamp,98243
2016-06-01,freeCodeCamp/freeCodeCamp,112794
2016-07-01,freeCodeCamp/freeCodeCamp,129332
2016-08-01,freeCodeCamp/freeCodeCamp,137485
2016-09-01,freeCodeCamp/freeCodeCamp,145442
2016-10-01,freeCodeCamp/freeCodeCamp,154363
2016-11-01,freeCodeCamp/freeCodeCamp,164842
2016-12-01,freeCodeCamp/freeCodeCamp,176215
2017-01-01,freeCodeCamp/freeCodeCamp,187732
2017-02-01,freeCodeCamp/freeCodeCamp,199896
2017-03-01,freeCodeCamp/freeCodeCamp,210656
2017-04-01,freeCodeCamp/freeCodeCamp,222410
2017-05-01,freeCodeCamp/freeCodeCamp,234450
2017-06-01,freeCodeCamp/freeCodeCamp,248124
2017-07-01,freeCodeCamp/freeCodeCamp,259246
2017-08-01,freeCodeCamp/freeCodeCamp,260159
2017-09-01,freeCodeCamp/freeCodeCamp,261085
2017-10-01,freeCodeCamp/freeCodeCamp,261788
2017-11-01,freeCodeCamp/freeCodeCamp,262710
2017-12-01,freeCodeCamp/freeCodeCamp,263505
2018-01-01,freeCodeCamp/freeCodeCamp,264212
2018-02-01,freeCodeCamp/freeCodeCamp,265010
2018-03-01,freeCodeCamp/freeCodeCamp,265763
2018-04-01,freeCodeCamp/freeCodeCamp,266634
2018-05-01,freeCodeCamp/freeCodeCamp,267468
2018-06-01,freeCodeCamp/freeCodeCamp,268208
2018-07-01,freeCodeCamp/freeCodeCamp,269092
2018-08-01,freeCodeCamp/freeCodeCamp,270338
2018-09-01,freeCodeCamp/freeCodeCamp,271455
2018-10-01,freeCodeCamp/freeCodeCamp,272373
2018-11-01,freeCodeCamp/freeCodeCamp,274414
2018-12-01,freeCodeCamp/freeCodeCamp,275369
2019-01-01,freeCodeCamp/freeCodeCamp,276278
2019-02-01,freeCodeCamp/freeCodeCamp,277330
2019-03-01,freeCodeCamp/freeCodeCamp,278248
2019-04-01,freeCodeCamp/freeCodeCamp,280689
2019-05-01,freeCodeCamp/freeCodeCamp,283476
2019-06-01,freeCodeCamp/freeCodeCamp,284780
2019-07-01,freeCodeCamp/freeCodeCamp,285688
2019-08-01,freeCodeCamp/freeCodeCamp,286594
2019-09-01,freeCodeCamp/freeCodeCamp,287461
2019-10-01,freeCodeCamp/freeCodeCamp,288479
2019-11-01,freeCodeCamp/freeCodeCamp,289512
2019-12-01,freeCodeCamp/freeCodeCamp,291009
2020-01-01,freeCodeCamp/freeCodeCamp,292006
2020-02-01,freeCodeCamp/freeCodeCamp,292965
2020-03-01,freeCodeCamp/freeCodeCamp,293849
2020-04-01,freeCodeCamp/freeCodeCamp,294800
2020-05-01,freeCodeCamp/freeCodeCamp,296051
2020-06-01,freeCodeCamp/freeCodeCamp,297385
2020-07-01,freeCodeCamp/freeCodeCamp,298478
2020-08-01,freeCodeCamp/freeCodeCamp,299836
2020-09-01,freeCodeCamp/freeCodeCamp,301186
2020-10-01,freeCodeCamp/freeCodeCamp,302421
2020-11-01,freeCodeCamp/freeCodeCamp,303810
2020-12-01,freeCodeCamp/freeCodeCamp,304865
2021-01-01,freeCodeCamp/freeCodeCamp,306138
2021-02-01,freeCodeCamp/freeCodeCamp,307400
2021-03-01,freeCodeCamp/freeCodeCamp,309500
2021-04-01,freeCodeCamp/freeCodeCamp,310931
2021-05-01,freeCodeCamp/freeCodeCamp,312291
2021-06-01,freeCodeCamp/freeCodeCamp,313714
2021-07-01,freeCodeCamp/freeCodeCamp,314862
2021-08-01,freeCodeCamp/freeCodeCamp,316871
2021-09-01,freeCodeCamp/freeCodeCamp,318827
2021-10-01,freeCodeCamp/freeCodeCamp,322300
2021-11-01,freeCodeCamp/freeCodeCamp,324216
2021-12-01,freeCodeCamp/freeCodeCamp,326243
2022-01-01,freeCodeCamp/freeCodeCamp,328089
2022-02-01,freeCodeCamp/freeCodeCamp,330262
2022-03-01,freeCodeCamp/freeCodeCamp,332170
2022-04-01,freeCodeCamp/freeCodeCamp,334275
2022-05-01,freeCodeCamp/freeCodeCamp,336052
2022-06-01,freeCodeCamp/freeCodeCamp,338203
2022-07-01,freeCodeCamp/freeCodeCamp,340091
2022-08-01,freeCodeCamp/freeCodeCamp,342672
2022-09-01,freeCodeCamp/freeCodeCamp,344673
2022-10-01,freeCodeCamp/freeCodeCamp,346825
2022-11-01,freeCodeCamp/freeCodeCamp,349111
2022-12-01,freeCodeCamp/freeCodeCamp,350730
2023-01-01,freeCodeCamp/freeCodeCamp,352019
2023-02-01,freeCodeCamp/freeCodeCamp,353738
2023-03-01,freeCodeCamp/freeCodeCamp,356004
2023-04-01,freeCodeCamp/freeCodeCamp,357918
2023-05-01,freeCodeCamp/freeCodeCamp,359566
2023-06-01,freeCodeCamp/freeCodeCamp,362637
2023-07-01,freeCodeCamp/freeCodeCamp,364167
2023-08-01,freeCodeCamp/freeCodeCamp,365661
2023-09-01,freeCodeCamp/freeCodeCamp,367394
2023-10-01,freeCodeCamp/freeCodeCamp,370277
2023-11-01,freeCodeCamp/freeCodeCamp,372515
2023-12-01,freeCodeCamp/freeCodeCamp,374752
2024-01-01,freeCodeCamp/freeCodeCamp,376712
2024-02-01,freeCodeCamp/freeCodeCamp,379275
2024-03-01,freeCodeCamp/freeCodeCamp,381211
2024-04-01,freeCodeCamp/freeCodeCamp,382961
2024-05-01,freeCodeCamp/freeCodeCamp,385902
2024-06-01,freeCodeCamp/freeCodeCamp,388560
2024-07-01,freeCodeCamp/freeCodeCamp,390346
2024-08-01,freeCodeCamp/freeCodeCamp,395018
2024-09-01,freeCodeCamp/freeCodeCamp,398649
2024-10-01,freeCodeCamp/freeCodeCamp,401729
2024-11-01,freeCodeCamp/freeCodeCamp,404087
2024-12-01,freeCodeCamp/freeCodeCamp,405938
2025-01-01,freeCodeCamp/freeCodeCamp,408108
2025-02-01,freeCodeCamp/freeCodeCamp,408385
2013-11-01,EbookFoundation/free-programming-books,9160
2013-12-01,EbookFoundation/free-programming-books,11305
2014-01-01,EbookFoundation/free-programming-books,12948
2014-02-01,EbookFoundation/free-programming-books,15487
2014-03-01,EbookFoundation/free-programming-books,17213
2014-04-01,EbookFoundation/free-programming-books,18012
2014-05-01,EbookFoundation/free-programming-books,21714
